,precision,recall,f1-score,support
0,0.9835526315789473,0.9577194106342088,0.9704641350210971,1561.0
1,0.9650793650793651,0.9864791779340184,0.9756619416956406,1849.0
accuracy,0.9733137829912023,0.9733137829912023,0.9733137829912023,0.9733137829912023
macro avg,0.9743159983291563,0.9720992942841136,0.9730630383583688,3410.0
weighted avg,0.9735358955796137,0.9733137829912023,0.9732825351798158,3410.0
